aX,aY,aZ,gX,gY,gZ
0.000,-0.043,1.004,3.784,-2.441,4.456
0.008,-0.059,1.004,2.075,-2.991,3.540
0.042,-0.061,1.021,-0.793,-4.028,1.953
0.128,-0.060,1.005,-4.089,-6.165,0.732
0.289,-0.128,0.846,-5.371,-9.705,1.343
0.092,-0.085,0.908,-7.263,-17.517,-0.366
0.129,0.093,0.815,-2.686,-25.330,-5.005
0.368,-0.062,1.038,4.333,10.437,6.531
0.124,-0.022,0.934,3.296,-2.625,5.615
0.206,-0.047,1.003,3.540,-1.099,4.272
0.234,-0.020,0.980,2.808,2.991,2.686
0.168,-0.024,0.977,3.479,-2.136,2.319
0.230,-0.014,0.982,3.235,0.732,1.831
0.179,-0.021,0.984,3.296,-1.160,1.648
0.184,-0.032,0.978,3.174,-1.892,1.892
0.169,-0.020,0.985,3.235,-1.953,1.526
0.169,-0.022,0.982,3.174,-2.258,1.465
0.145,-0.039,0.987,3.418,-2.319,1.526
0.126,-0.055,0.977,3.540,-2.869,0.977
0.106,-0.070,0.984,3.357,-2.563,-0.122
0.078,-0.082,0.977,3.540,-2.930,-1.526
0.065,-0.052,0.984,3.479,-2.686,-2.869
0.093,-0.002,0.978,3.418,-2.136,-3.113
0.111,0.037,0.991,3.113,-1.709,-1.038
0.089,0.037,0.973,3.540,-1.953,3.845
0.072,0.006,0.981,3.967,-1.343,8.545
0.031,-0.042,0.983,3.784,-1.343,12.329
0.024,-0.056,0.980,3.540,-0.427,13.916
0.007,-0.044,0.987,3.296,1.099,13.733
0.009,-0.041,0.980,3.418,1.831,13.306
-0.012,-0.050,0.979,3.662,1.709,12.390
-0.015,-0.064,0.975,3.906,0.854,10.864
-0.053,-0.086,0.991,4.028,0.427,8.850
0.025,-0.089,1.026,3.113,7.263,5.493
0.100,-0.039,0.988,3.052,4.456,2.380
-0.186,-0.022,0.897,5.310,-17.151,2.502
0.118,-0.002,1.033,3.235,7.446,4.089
0.026,0.023,0.960,3.967,1.709,6.470
-0.027,0.006,0.968,4.700,-3.723,9.094
0.001,-0.034,0.992,3.601,6.226,10.315
0.008,-0.087,1.040,2.991,9.155,8.301
0.022,-0.131,0.976,3.174,6.287,3.784
-0.085,-0.083,0.966,4.211,-12.451,-1.709
0.010,-0.023,0.975,3.723,-2.441,-2.502
0.032,0.004,0.982,3.601,-0.854,-2.136
0.025,0.037,0.987,3.662,-3.174,-0.244
-0.000,0.047,0.975,3.906,-4.272,2.625
0.004,0.041,0.982,3.479,-2.075,5.493
0.032,0.033,0.989,3.113,-0.183,8.484
0.004,0.021,0.976,3.174,-1.282,11.597
0.009,-0.004,0.986,3.052,-0.061,13.733
0.014,-0.044,0.989,3.052,-0.305,14.282
-0.026,-0.075,0.977,3.479,-3.113,12.878
-0.038,-0.101,0.981,3.662,-3.296,9.705
-0.034,-0.106,0.975,3.967,-3.967,6.226
-0.030,-0.094,0.983,4.089,-3.845,2.075
-0.021,-0.056,0.982,4.395,-4.639,-1.404
0.017,0.021,0.975,4.639,-4.333,-2.869
0.045,0.089,0.990,4.700,-3.296,-1.343
0.054,0.104,0.991,4.944,-3.601,3.052
0.026,0.093,0.979,4.822,-4.639,8.118
0.003,0.050,0.978,4.822,-4.272,13.184
-0.008,0.014,0.990,4.761,-3.296,16.724
-0.033,-0.041,0.991,5.249,-4.028,18.555
-0.062,-0.061,0.973,5.432,-5.127,18.555
-0.066,-0.082,0.983,4.944,-3.052,16.724
-0.056,-0.103,0.981,4.456,-1.221,14.404
-0.095,-0.139,0.985,4.517,-2.869,11.658
-0.123,-0.127,0.976,4.578,-3.784,8.118
-0.096,-0.076,0.984,4.456,-3.113,4.333
-0.068,-0.015,0.987,4.333,-3.418,2.563
-0.052,0.015,0.973,4.211,-4.700,3.235
-0.038,0.043,0.974,3.845,-4.456,6.104
-0.024,0.067,0.984,3.784,-3.357,9.460
-0.024,0.030,0.983,3.845,-3.723,13.123
-0.050,0.002,0.987,4.028,-4.578,16.418
-0.073,-0.021,0.982,3.967,-4.822,17.578
-0.071,-0.021,0.978,3.235,-3.418,18.005
-0.067,-0.015,0.973,2.930,-1.831,18.188
-0.078,-0.051,0.992,3.174,-1.526,18.799
-0.096,-0.076,0.986,3.662,-2.075,18.677
-0.101,-0.080,0.987,3.845,-3.662,16.663
-0.104,-0.063,0.993,3.967,-5.493,14.160
-0.092,-0.010,0.993,4.028,-7.263,12.634
-0.052,0.049,0.986,3.601,-7.996,13.550
-0.040,0.038,0.983,3.845,-9.216,16.846
-0.082,-0.005,0.979,4.456,-9.766,20.935
-0.089,-0.028,0.970,4.272,-8.179,22.766
-0.093,-0.036,0.979,4.272,-5.798,22.644
-0.091,-0.042,0.981,3.784,-4.333,21.667
-0.098,-0.041,0.985,3.662,-3.418,20.508
-0.091,-0.025,0.968,3.479,-2.930,19.470
-0.102,-0.019,0.976,3.418,-2.014,18.860
-0.107,-0.018,0.976,3.723,-0.977,18.738
-0.102,-0.013,0.978,3.418,-0.122,18.127
-0.115,-0.017,0.994,3.479,-0.244,17.517
-0.094,-0.011,1.000,3.845,-1.831,16.907
-0.096,0.017,0.997,3.601,-5.249,16.724
-0.097,0.039,0.972,3.296,-8.118,17.761
-0.119,0.010,0.977,3.235,-6.653,20.264
-0.118,-0.021,0.982,2.991,-3.540,21.790
