aX,aY,aZ,gX,gY,gZ
0.048,0.016,0.981,4.150,-6.104,19.226
0.037,-0.019,0.964,3.357,-4.822,22.095
0.066,-0.057,1.005,3.174,-1.953,23.071
0.023,-0.086,0.975,3.784,-6.897,22.766
-0.041,-0.112,0.963,3.967,-8.606,20.325
0.007,-0.109,0.981,3.662,-2.197,17.151
-0.038,-0.103,0.975,4.517,-1.892,14.038
-0.040,-0.065,0.975,4.333,-1.099,10.254
-0.011,0.018,0.982,4.028,0.488,7.751
0.025,0.117,0.992,4.456,-0.549,8.789
0.052,0.145,0.980,4.944,-1.587,13.733
0.024,0.118,0.992,5.432,-1.770,20.325
-0.012,0.048,0.985,5.432,-2.502,26.367
-0.060,-0.012,0.968,4.883,-3.174,28.992
-0.113,-0.067,0.982,4.761,-3.479,29.053
-0.127,-0.089,0.981,4.456,-3.479,26.733
-0.114,-0.100,0.987,4.028,-3.235,23.804
-0.103,-0.103,0.978,3.662,-3.845,20.447
-0.109,-0.113,0.978,3.723,-4.822,16.724
-0.123,-0.112,0.985,4.089,-4.272,13.000
-0.114,-0.076,0.988,4.150,-3.052,9.644
-0.098,-0.011,0.982,3.662,-3.418,8.057
-0.079,0.054,0.990,3.723,-5.371,8.118
-0.065,0.083,0.990,4.089,-6.897,11.292
-0.069,0.092,0.975,4.028,-7.141,15.991
-0.064,0.070,0.959,3.723,-4.150,20.691
-0.082,0.019,0.973,3.723,-0.610,24.536
-0.110,-0.022,0.987,3.845,1.709,26.672
-0.110,-0.026,0.995,3.235,1.526,27.283
-0.102,-0.022,0.999,3.540,-0.916,27.466
-0.114,-0.016,0.993,3.845,-4.517,27.649
-0.127,-0.013,0.982,3.784,-7.385,28.015
-0.128,-0.022,0.962,3.784,-7.568,29.175
-0.156,-0.097,0.978,4.395,-5.676,30.151
-0.189,-0.125,0.971,4.089,-3.357,29.358
-0.189,-0.126,0.976,3.540,-1.404,26.733
-0.175,-0.103,0.979,3.784,0.732,23.865
-0.159,-0.078,0.973,3.845,1.465,21.790
-0.171,-0.051,0.983,3.601,0.427,21.362
-0.186,-0.040,0.981,3.296,-0.305,20.935
-0.161,-0.025,0.959,3.479,0.000,20.508
-0.159,-0.046,0.989,4.150,1.282,21.179
-0.155,-0.055,1.002,4.456,0.916,23.071
-0.176,-0.055,0.999,3.784,-2.441,24.292
-0.194,-0.055,0.972,2.869,-5.127,23.926
-0.174,-0.055,0.952,2.563,-3.723,22.888
-0.186,-0.061,0.971,3.479,-1.343,23.376
-0.206,-0.075,0.983,4.456,-0.183,24.414
-0.226,-0.085,0.984,4.700,-0.305,24.475
-0.247,-0.092,0.983,4.272,-0.793,23.437
-0.250,-0.101,0.976,4.089,-1.160,22.278
-0.251,-0.116,0.974,4.517,-1.831,20.691
-0.274,-0.119,0.983,4.822,-1.953,18.738
-0.257,-0.100,0.977,4.639,-1.526,16.418
-0.227,-0.057,0.977,4.333,-1.282,14.221
-0.216,-0.047,0.989,4.700,-1.648,13.855
-0.225,-0.023,0.985,4.395,-2.991,14.648
-0.232,-0.038,0.987,4.578,-4.333,15.808
-0.249,-0.051,0.974,4.333,-3.967,17.212
-0.259,-0.063,0.964,3.601,-2.869,17.944
-0.262,-0.055,0.969,3.601,-0.671,18.066
-0.250,-0.062,0.980,3.601,0.977,18.005
-0.233,-0.036,0.973,3.479,0.916,18.066
-0.207,-0.038,0.977,3.235,0.549,18.738
-0.215,-0.062,0.983,3.540,-0.183,19.531
-0.239,-0.106,0.978,3.601,-1.343,19.287

0.098,-0.118,0.947,-6.775,6.348,-10.193
0.044,-0.065,0.985,-4.700,0.977,-17.456
0.079,-0.043,1.028,-3.296,0.366,-20.020
0.281,0.096,0.960,-7.385,-8.911,-23.560
0.457,0.180,0.960,-0.916,-3.845,-11.780
0.247,0.167,0.940,4.700,-15.625,4.700
0.259,-0.003,0.993,4.456,-6.409,13.428
0.315,-0.068,0.968,3.418,-0.122,13.062
0.332,-0.076,0.974,3.601,-0.610,10.620
0.361,-0.066,0.975,3.601,-0.793,8.789
0.381,-0.032,0.981,3.662,-0.427,7.324
0.381,0.003,0.970,3.662,-0.916,7.324
0.369,0.012,0.978,3.784,-1.038,7.690
0.351,0.010,0.981,3.784,-0.732,8.667
0.322,-0.004,0.973,3.906,-0.549,9.766
0.322,0.006,0.978,3.418,0.122,10.742
0.354,0.017,0.980,2.808,0.061,12.390
0.331,0.008,0.968,2.563,-0.977,14.526
0.335,-0.039,0.969,2.563,-0.977,17.700
0.297,-0.073,0.983,2.502,-0.854,20.142
0.269,-0.117,0.976,2.441,0.183,20.935
0.189,-0.150,1.000,2.808,-0.305,20.081
0.169,-0.145,0.992,2.625,1.404,17.578
0.149,-0.109,0.962,3.113,0.854,15.076
0.110,-0.075,0.981,2.930,-0.854,12.695
0.092,-0.067,0.977,3.601,-1.282,11.536
0.082,-0.024,0.985,3.784,-1.526,10.254
0.090,0.006,0.981,3.235,-2.319,9.705
0.067,0.005,0.981,3.479,-3.540,10.864
0.117,0.022,0.988,3.174,-2.319,12.024
0.149,0.031,0.977,3.296,-1.038,15.015
0.140,-0.010,0.991,3.967,-2.380,21.179
0.088,-0.022,0.956,3.357,-0.244,26.184
0.023,-0.075,0.989,3.479,1.465,28.992
-0.022,-0.122,0.960,3.784,0.854,28.503
-0.028,-0.122,0.974,3.845,1.404,24.902
-0.030,-0.101,0.984,3.906,0.427,19.958
-0.012,-0.059,0.988,3.784,0.061,15.320
-0.015,-0.022,0.980,4.822,-1.526,13.306
-0.004,-0.005,0.995,4.761,-1.282,12.512
-0.010,-0.018,0.968,4.578,-1.282,13.062
-0.035,-0.018,0.986,4.333,-2.441,13.977
-0.031,-0.016,0.975,4.089,-2.441,14.954
-0.015,0.011,0.987,3.540,-2.197,16.296
-0.045,-0.013,0.974,3.601,-1.892,18.555
-0.025,-0.014,0.982,3.235,-0.854,19.287
-0.022,-0.025,0.982,3.967,-0.183,20.691
-0.041,-0.075,0.984,3.845,-0.305,20.752
-0.057,-0.095,0.979,4.028,0.427,18.677
-0.070,-0.078,0.976,4.028,0.488,15.137
-0.162,-0.055,0.973,3.845,2.869,11.658
-0.057,-0.032,1.033,2.869,11.841,7.080
0.054,0.037,0.940,4.150,8.118,5.798
-0.143,0.035,1.000,6.104,-5.554,7.751
0.009,0.043,0.971,4.822,0.549,7.996
-0.174,0.034,0.979,5.554,-4.578,10.193
-0.091,0.018,0.999,4.272,-0.366,11.841
-0.025,0.026,0.970,3.967,-0.732,13.794
-0.175,0.001,0.979,4.578,-7.874,16.785
-0.132,-0.048,0.984,3.967,-1.709,18.433
-0.096,-0.053,0.983,3.479,0.671,18.066
-0.104,-0.061,0.975,4.211,-2.747,17.883
-0.126,-0.078,0.983,4.333,-4.028,16.968
-0.147,-0.063,0.983,4.028,-3.540,14.038
-0.149,-0.021,0.983,3.540,-1.465,10.742
-0.115,0.032,0.979,2.930,1.343,8.789
-0.093,0.077,0.984,3.357,1.892,9.216
-0.079,0.103,0.992,3.601,1.160,11.536
-0.047,0.134,0.990,3.540,0.977,15.137
-0.045,0.123,0.986,3.784,0.549,19.653
-0.046,0.088,0.982,4.150,0.061,24.048
-0.089,0.028,0.990,4.272,-1.221,27.405
-0.121,-0.025,0.983,3.967,-1.465,28.015
-0.160,-0.059,0.990,4.089,-1.709,26.917
-0.178,-0.063,0.982,4.089,-2.869,23.560
-0.171,-0.056,0.985,4.028,-2.991,19.348
-0.163,-0.068,0.985,4.089,-3.113,15.259
-0.153,-0.080,0.981,3.967,-3.235,10.803
-0.182,-0.094,0.980,4.333,-4.578,6.714
-0.196,-0.068,0.985,4.333,-5.798,2.625
-0.169,-0.014,0.980,4.089,-5.066,-0.366
-0.121,0.057,0.985,4.456,-5.005,-1.343
-0.107,0.096,0.992,5.005,-7.446,0.732
-0.085,0.098,0.981,4.761,-8.179,4.517
-0.107,0.038,0.991,4.639,-7.263,7.812
-0.138,-0.010,0.983,5.005,-7.629,10.010
-0.160,-0.014,0.975,4.272,-6.897,10.193
-0.149,-0.016,0.972,3.906,-4.883,10.010
-0.163,-0.036,0.989,4.028,-4.211,10.254
-0.196,-0.092,0.993,4.028,-6.042,10.437
-0.246,-0.140,0.985,3.845,-7.202,8.911
-0.227,-0.150,0.988,2.930,-4.211,5.554
-0.142,-0.108,0.985,1.770,-1.831,1.892
-0.075,-0.063,0.968,2.930,-2.869,0.061
-0.089,-0.050,0.973,4.578,-6.287,0.000
-0.132,-0.035,0.985,5.676,-8.484,1.160
-0.166,-0.013,0.982,6.226,-9.583,2.991
-0.180,0.011,0.959,6.836,-10.864,4.639
-0.206,-0.009,0.978,8.728,-12.329,7.751
-0.214,-0.016,0.985,9.155,-12.207,10.986
-0.171,-0.011,0.982,7.507,-9.583,12.634
-0.127,-0.054,0.979,5.920,-7.080,14.465
-0.143,-0.117,0.983,5.371,-5.432,15.869
-0.143,-0.147,0.955,4.517,-2.808,15.198
-0.147,-0.167,0.963,4.028,2.014,13.428
-0.145,-0.154,0.980,4.150,5.798,12.207
-0.140,-0.086,0.980,3.784,6.714,10.376
-0.132,-0.028,0.996,4.272,6.226,9.766
-0.131,0.003,1.000,4.456,3.845,11.169
-0.147,0.003,1.003,4.639,-1.160,13.916
-0.163,-0.018,0.999,4.578,-5.859,16.418
-0.176,-0.031,0.983,4.578,-8.789,18.372
-0.172,-0.073,0.968,4.700,-10.010,19.165
-0.216,-0.115,0.970,4.395,-9.705,19.653
-0.246,-0.114,0.962,4.089,-8.301,19.470
-0.255,-0.126,0.966,3.967,-6.836,18.799
-0.283,-0.124,0.966,3.845,-4.822,17.883
-0.294,-0.142,0.966,3.601,-2.930,16.052
-0.291,-0.140,0.966,3.540,-0.977,14.709

-0.002,-0.046,1.000,6.104,0.732,6.042
-0.008,-0.047,1.000,4.639,-0.671,6.104
-0.009,-0.041,1.001,2.808,-1.709,5.127
-0.008,-0.055,1.001,0.977,-2.747,3.906
-0.008,-0.069,1.003,-1.221,-3.662,3.113
-0.009,-0.069,1.003,-3.723,-5.005,2.563
0.013,-0.084,1.041,-5.554,-7.324,1.404
0.065,0.068,0.737,-7.935,-13.000,-0.793
0.148,0.049,0.849,-7.507,-17.273,-0.732
-0.090,-0.038,0.878,-3.174,-18.738,0.000
0.259,-0.022,1.034,3.174,8.728,0.610
0.065,-0.039,0.946,3.113,-4.517,-0.732
0.222,-0.035,1.005,3.235,1.770,-2.014
0.161,-0.034,0.966,3.052,-0.977,-2.869
0.208,-0.045,0.986,3.052,0.183,-3.357
0.198,-0.034,0.971,3.052,-0.427,-3.906
0.182,-0.040,0.987,3.235,-1.038,-4.333
0.184,-0.041,0.974,3.113,-1.038,-5.188
0.183,-0.023,0.988,3.052,-0.793,-5.493
0.208,0.011,0.976,2.869,-0.916,-5.005
0.207,0.002,0.983,3.174,-1.526,-3.174
0.186,-0.032,0.972,3.235,-1.770,-1.038
0.187,-0.061,0.978,3.540,-1.282,0.366
0.200,-0.068,0.981,3.845,-1.221,1.221
0.203,-0.068,0.988,3.479,-1.587,2.014
0.208,-0.061,0.978,3.235,-1.587,2.686
0.206,-0.068,0.983,2.808,-0.671,3.235
0.212,-0.073,0.984,2.380,0.061,3.235
0.212,-0.086,0.992,2.014,0.305,3.052
0.168,-0.088,0.971,2.014,-1.648,2.380
0.165,-0.091,0.984,2.014,-1.221,0.793
0.158,-0.067,0.983,2.075,-1.221,-1.831
0.176,-0.009,0.975,1.892,-1.404,-3.601
0.196,0.035,0.976,2.075,-0.916,-3.601
0.226,0.051,0.984,2.563,-0.610,-0.977
0.213,0.031,0.982,2.686,-0.671,4.028
0.184,-0.022,0.975,2.808,-0.122,9.033
0.122,-0.056,0.982,2.686,-0.244,11.108
0.122,-0.077,0.984,3.052,0.183,10.071
0.103,-0.039,0.974,2.625,0.488,7.874
0.107,-0.024,0.970,2.502,1.160,6.897
0.082,-0.022,0.986,2.258,0.244,7.141
0.074,-0.024,0.985,2.441,0.488,7.996
0.048,-0.049,0.984,2.808,0.610,8.545
0.024,-0.046,0.987,2.869,0.244,8.240
0.026,-0.006,0.999,2.869,-0.305,7.141
0.070,0.055,0.983,3.479,-0.671,7.446
0.072,0.088,0.967,3.784,0.732,10.315
0.064,0.054,0.977,4.150,1.709,14.343
0.008,-0.017,0.979,4.578,0.000,16.968
0.003,-0.055,0.981,4.272,0.671,17.029
-0.028,-0.090,0.995,3.784,0.732,15.137
-0.043,-0.101,0.972,3.601,1.038,11.963
-0.057,-0.096,0.988,3.662,0.854,7.751
-0.067,-0.077,0.978,3.540,-0.183,3.784
-0.039,-0.028,0.968,3.723,-0.427,0.061
-0.000,0.023,0.975,4.333,-2.014,-1.343
0.020,0.068,0.993,4.517,-3.479,-0.488
0.013,0.091,0.964,3.967,-4.028,2.258
0.045,0.088,0.980,3.662,-1.953,6.592
0.011,0.042,0.983,3.418,-2.319,11.414
0.002,-0.016,0.985,2.869,-0.916,15.137
-0.047,-0.066,0.984,2.747,0.366,17.334
-0.059,-0.109,0.984,2.808,1.160,16.052
-0.071,-0.108,0.985,3.174,2.441,12.268
-0.139,-0.093,0.974,3.113,2.686,7.080
-0.006,-0.040,1.003,2.808,7.935,1.160
-0.001,0.048,0.946,4.028,4.089,-1.343
0.018,0.106,0.993,4.761,-4.272,0.183
0.034,0.130,0.979,5.188,-1.892,5.188
0.038,0.094,0.980,4.944,-0.854,12.390
0.013,0.029,0.986,4.883,0.000,19.226
-0.042,-0.046,0.982,4.883,-1.099,23.193
-0.057,-0.105,0.982,4.700,-0.488,23.315
-0.047,-0.118,0.992,4.211,-0.549,20.264
0.000,-0.088,0.987,4.333,-3.601,16.357
-0.043,-0.073,0.966,4.272,-7.507,12.939
0.023,-0.057,0.980,3.784,-3.967,10.193
0.047,0.000,0.974,3.967,-2.502,9.338
0.058,-0.002,0.982,4.089,-1.099,10.437
0.076,-0.008,0.984,3.784,1.770,11.780
0.071,0.003,0.977,3.845,-0.916,12.512
0.005,0.002,0.960,3.540,-5.432,12.695
0.065,-0.005,0.991,3.357,0.000,12.146
0.095,0.034,0.953,3.479,0.793,12.573
0.077,0.015,0.996,4.761,-0.427,14.954
0.017,-0.028,0.995,5.066,-1.343,16.296
-0.005,-0.059,0.999,4.272,-0.793,15.625
-0.015,-0.032,0.984,3.967,-1.892,13.489
-0.026,0.036,0.983,4.211,-4.028,12.451
-0.017,0.062,0.977,4.822,-6.165,13.916
-0.074,0.029,0.997,4.944,-7.019,16.968
-0.087,-0.009,0.974,4.456,-6.897,19.897
-0.115,-0.057,0.989,3.601,-5.066,21.729
-0.117,-0.091,0.972,2.930,-3.296,21.851
-0.133,-0.069,0.979,2.380,-1.831,19.348
-0.105,-0.021,0.982,2.563,-0.427,17.639
-0.088,0.033,0.991,2.747,0.000,17.273
-0.077,0.064,0.985,2.869,0.610,19.348
-0.070,0.103,0.983,3.235,0.916,23.437
-0.107,0.086,0.987,3.235,0.977,28.625
-0.153,0.039,0.983,3.357,0.427,33.386
-0.182,0.047,0.974,2.930,-0.305,36.377
-0.176,0.030,0.977,4.028,-0.488,38.574
-0.220,-0.022,0.998,5.981,-1.221,41.138
-0.248,-0.082,0.991,5.798,-2.991,41.748
-0.261,-0.087,0.973,4.395,-3.174,40.283
-0.285,-0.121,0.990,4.944,-3.479,38.330
-0.334,-0.139,1.011,5.737,-5.676,36.072
-0.360,-0.124,0.999,5.005,-8.911,32.349
-0.349,-0.089,0.991,4.028,-10.193,28.564
-0.335,-0.056,0.988,3.662,-11.780,26.855
-0.314,-0.010,0.965,3.296,-13.794,27.405
-0.340,-0.037,0.966,3.540,-13.306,29.846
-0.357,-0.051,0.974,2.441,-10.193,31.799
-0.346,-0.068,0.974,1.099,-6.042,32.104
-0.362,-0.090,0.973,0.366,-5.066,32.288
-0.376,-0.140,0.971,0.427,-4.028,31.433
-0.399,-0.171,0.962,0.549,-2.441,28.870

-0.067,-0.092,1.000,5.310,1.221,4.883
-0.047,-0.079,1.005,2.380,1.587,1.892
-0.039,-0.065,1.007,-0.916,2.747,-0.427
-0.125,-0.098,0.985,-4.089,4.272,-2.197
-0.064,-0.157,1.004,-4.089,4.089,-7.935
-0.009,-0.133,1.028,-3.662,3.784,-14.099
0.396,0.087,0.867,-4.333,2.625,-16.479
0.298,0.018,1.021,-0.244,0.427,-5.554
0.132,0.045,1.017,-5.432,-11.108,0.977
0.304,-0.031,0.939,-5.371,-1.526,3.357
0.360,-0.052,0.966,-0.793,4.028,5.249
0.397,-0.096,0.992,0.305,2.441,5.676
0.470,-0.086,0.980,-0.122,5.798,3.906
0.492,-0.067,0.972,-0.488,6.287,3.052
0.534,-0.042,0.956,-0.488,6.897,3.540
0.534,-0.026,0.936,-0.061,5.188,4.822
0.538,0.022,0.940,1.404,2.441,6.897
0.545,0.041,0.955,2.991,0.671,10.315
0.532,0.006,0.995,4.333,1.465,15.381
0.538,-0.102,1.077,2.808,2.258,18.982
0.489,-0.036,0.942,-2.930,-2.625,18.433
0.492,-0.045,0.993,-2.869,0.854,18.921
0.419,-0.042,0.979,-2.930,0.061,19.287
0.348,-0.085,0.951,-4.456,-2.197,18.372
0.248,-0.110,0.937,-4.456,-2.075,16.296
0.149,-0.037,0.958,-2.747,-2.197,12.939
0.164,0.112,0.937,-1.221,-2.869,10.559
0.140,0.192,0.895,2.136,-3.357,14.343
0.104,0.169,0.896,7.629,-1.953,22.522
0.043,0.062,0.952,14.221,-2.136,30.334
-0.071,-0.032,1.043,17.517,-3.357,34.058
-0.104,-0.109,1.111,12.512,-1.587,33.997
-0.061,-0.048,0.961,3.174,-1.099,30.762
-0.090,-0.078,0.998,1.343,0.061,30.640
-0.120,-0.148,1.023,2.625,3.174,31.555
-0.110,-0.164,0.985,0.732,4.639,28.320
-0.109,-0.094,0.974,-0.610,2.014,24.231
-0.032,0.047,0.938,0.183,0.427,21.179
-0.006,0.083,0.970,4.578,1.770,23.315
-0.001,0.053,0.999,6.714,0.671,27.405
-0.017,-0.029,0.984,6.409,-0.916,30.396
-0.121,-0.087,0.997,3.784,2.747,29.846
0.246,-0.111,1.057,2.991,14.526,26.550
0.016,-0.085,1.014,-0.549,-1.831,24.170
0.049,-0.141,1.006,-6.592,-8.667,17.151
0.119,-0.155,1.042,-7.385,3.418,10.559
0.100,-0.045,0.976,-11.902,0.671,3.662
0.245,0.182,0.920,-12.878,2.075,0.183
0.304,0.344,0.819,-8.362,-0.244,4.333
0.297,0.339,0.836,1.831,-1.770,16.724
0.241,0.224,0.875,11.658,-3.479,28.992
0.178,0.070,0.935,18.860,-5.371,37.109
0.138,-0.036,1.022,22.644,-9.155,39.124
0.036,-0.102,1.045,20.630,-16.296,36.316
-0.009,-0.175,1.081,15.564,-14.526,30.457
-0.013,-0.192,1.067,7.324,-13.184,21.667
0.004,-0.140,0.989,1.160,-16.052,12.146
0.022,-0.105,0.972,0.244,-17.700,6.104
0.056,0.006,0.970,1.831,-15.503,2.991
0.188,0.177,0.927,1.770,-12.573,3.113
0.188,0.167,0.930,5.005,-10.498,11.902
0.090,0.060,0.952,8.484,-7.202,22.766
0.027,-0.096,0.940,8.972,0.366,26.367
-0.082,-0.184,0.953,10.010,6.348,23.437
-0.106,-0.130,0.972,9.827,12.817,14.648
-0.026,-0.084,1.050,10.254,17.395,6.042
0.010,-0.064,1.004,8.728,11.169,0.305
-0.039,-0.042,0.961,8.118,0.427,-2.197
-0.039,-0.043,0.955,9.521,-1.648,-3.601
-0.074,-0.028,0.996,11.047,0.854,-5.127
-0.075,0.048,1.004,10.132,3.723,-6.287
-0.029,0.117,0.968,8.484,6.409,-4.944
-0.086,0.125,0.984,7.935,8.423,-0.854
-0.062,0.183,1.019,6.348,12.268,4.456
-0.041,0.185,1.014,3.418,13.489,9.949
-0.101,0.135,0.976,2.197,11.108,16.235
-0.131,0.068,0.981,3.662,11.230,21.606
-0.198,-0.019,0.983,5.798,10.315,23.926
-0.291,-0.102,1.007,8.911,10.498,22.522
-0.270,-0.054,1.013,10.010,12.329,18.005
-0.208,0.033,0.995,8.667,12.085,15.259
-0.217,0.020,1.003,9.705,9.766,18.494
-0.247,-0.073,0.992,10.742,7.141,21.423
-0.218,-0.082,0.990,10.132,5.981,22.156
-0.295,-0.042,1.020,10.071,2.380,23.193
-0.260,-0.020,0.985,6.531,1.465,21.484
-0.255,-0.027,0.952,4.883,2.869,22.461
-0.230,-0.037,0.930,1.465,3.784,23.071
-0.209,-0.090,0.927,-4.028,1.770,22.644
-0.232,-0.139,0.951,-7.751,-4.272,20.508
-0.270,-0.152,1.005,-6.287,-9.644,17.700
-0.276,-0.180,1.037,2.441,-11.414,17.395
-0.190,-0.174,0.989,9.521,-6.348,15.808
-0.140,-0.108,1.010,7.935,-3.235,11.475
-0.085,-0.011,1.000,4.822,0.183,9.949
-0.067,0.014,0.991,4.517,2.869,12.512
-0.099,-0.001,0.993,4.517,3.540,15.686
-0.142,-0.024,0.993,3.967,3.418,17.151
-0.201,-0.043,0.976,3.662,2.075,17.151
-0.236,-0.045,0.962,4.456,0.427,16.174
-0.251,-0.062,0.959,5.920,-2.136,15.381
-0.296,-0.116,0.979,7.324,-5.249,14.404
-0.329,-0.150,1.006,7.996,-7.507,11.841
-0.312,-0.123,1.007,8.118,-7.996,8.057
-0.270,-0.059,0.977,7.446,-6.836,4.089
-0.215,-0.043,0.984,6.226,-4.089,2.563
-0.195,-0.033,0.993,4.211,-3.479,2.319
-0.164,-0.008,1.001,2.441,-3.601,2.502
-0.136,-0.021,0.991,2.563,-2.563,3.723
-0.148,-0.049,0.998,3.601,-1.892,5.920
-0.162,-0.068,0.997,3.601,-0.916,6.592
-0.162,-0.040,0.986,2.930,0.061,5.859
-0.165,-0.031,0.973,2.563,-0.549,5.310
-0.216,-0.082,0.974,3.174,-2.441,5.920
-0.358,-0.193,1.060,3.113,-3.113,5.493
-0.236,-0.075,0.967,0.305,-0.244,0.244
-0.191,-0.080,0.944,4.456,-2.197,-0.183
-0.164,-0.090,0.956,6.775,-4.028,0.732
-0.131,-0.073,0.969,5.859,-6.104,0.854

0.020,-0.045,0.989,3.967,2.319,-1.770
0.040,-0.052,0.996,2.808,1.831,-2.747
0.072,-0.074,1.002,1.099,1.038,-3.845
0.075,-0.079,1.001,-1.221,0.977,-5.859
0.129,-0.085,0.984,-2.686,1.892,-7.385
0.120,-0.107,1.020,-4.333,0.488,-8.362
0.397,-0.114,1.123,-6.287,-1.038,-10.681
0.535,0.094,0.880,-6.348,-6.104,-4.028
0.318,-0.020,0.958,0.244,-10.376,9.644
0.501,-0.106,0.961,1.648,3.601,10.742
0.429,-0.057,0.971,2.441,2.380,9.216
0.511,-0.008,0.970,2.441,3.174,7.141
0.515,0.071,0.964,2.502,3.418,7.141
0.533,0.097,0.967,2.380,3.784,10.254
0.534,0.082,0.970,2.014,4.272,15.503
0.515,0.039,0.973,1.648,4.028,21.301
0.490,-0.026,0.982,0.977,4.028,26.367
0.438,-0.065,0.974,-0.183,4.456,29.602
0.403,-0.062,0.972,-0.610,4.089,31.067
0.367,-0.052,0.942,-0.671,3.845,31.982
0.333,-0.061,0.935,0.916,3.052,33.081
0.285,-0.079,0.980,3.357,1.221,33.508
0.264,-0.087,0.972,4.517,-0.183,32.776
0.228,-0.069,0.964,4.822,-0.793,31.555
0.191,-0.096,0.975,5.981,-2.563,30.945
0.143,-0.057,0.973,4.639,-2.258,29.053
0.127,-0.074,0.988,4.150,0.488,27.527
0.064,-0.086,0.994,3.357,-0.488,26.428
0.056,-0.010,0.979,2.502,-0.305,24.963
0.107,0.075,0.965,1.953,-0.549,25.635
0.090,0.060,0.966,2.747,-1.648,31.067
0.044,0.010,0.972,3.174,-1.892,36.987
0.006,-0.038,0.971,3.113,-0.549,40.405
-0.026,-0.089,1.004,3.418,1.282,41.321
-0.033,-0.113,1.001,2.014,2.625,39.490
-0.037,-0.094,0.984,0.305,1.465,36.255
-0.046,-0.085,0.981,0.244,0.732,33.142
-0.003,-0.003,0.991,-0.122,0.916,30.212
0.051,0.061,0.973,-1.465,-0.183,29.663
0.031,0.038,0.981,-1.038,-0.244,33.691
-0.002,-0.030,1.002,-0.977,1.282,37.415
-0.042,-0.081,1.013,-2.747,2.136,37.659
-0.125,-0.072,0.984,-5.310,3.418,34.790
0.034,-0.049,0.970,-5.676,8.484,30.518
-0.029,-0.009,0.930,-4.089,4.150,30.701
-0.114,-0.091,0.983,-1.587,2.075,31.982
-0.099,-0.199,1.033,0.183,6.714,27.893
-0.136,-0.193,1.002,-3.296,3.235,18.799
-0.101,-0.081,0.974,-5.981,1.343,10.437
-0.051,0.049,0.926,-5.981,-0.305,6.287
0.014,0.108,0.891,-2.441,-1.038,8.301
0.012,0.075,0.916,3.235,-0.549,14.038
0.019,0.142,0.881,9.521,-1.221,20.020
-0.067,0.108,0.961,14.648,-3.967,27.283
0.013,0.103,0.988,17.883,-2.197,30.823
-0.040,0.070,0.980,17.212,-6.226,32.532
-0.054,0.009,1.004,17.029,-6.226,33.020
-0.035,-0.020,0.984,15.930,-4.700,30.823
-0.042,-0.029,0.985,15.320,-4.578,28.076
-0.064,-0.054,1.003,15.442,-4.456,25.452
-0.088,-0.065,1.017,14.587,-3.357,21.912
-0.099,-0.052,1.027,11.902,-1.770,17.639
-0.104,-0.021,1.028,7.935,0.183,13.245
-0.089,0.021,0.999,4.578,1.160,9.705
-0.050,0.049,0.976,2.563,1.038,7.996
-0.043,0.041,0.963,2.380,-1.526,7.568
-0.057,0.003,0.982,3.845,-3.113,7.446
-0.066,-0.008,0.998,4.211,-3.906,6.348
-0.070,0.003,1.001,2.991,-4.578,4.639
-0.041,0.014,0.986,1.892,-3.540,3.967
-0.048,-0.004,0.969,1.831,-2.991,3.357
-0.065,-0.034,0.974,2.380,-2.991,2.197
-0.054,-0.050,0.980,3.418,-2.075,-0.305
-0.027,-0.036,0.993,3.906,-1.587,-2.319
-0.043,-0.041,0.991,3.662,-1.648,-3.357
-0.012,0.035,0.998,2.686,-1.465,-4.272
0.029,0.098,0.986,1.953,-1.709,-3.479
0.017,0.127,0.976,2.686,-3.723,0.977
-0.002,0.086,0.981,3.418,-6.409,7.202
-0.039,0.009,0.984,4.944,-9.583,11.719
-0.099,-0.045,0.998,7.385,-13.123,14.099
-0.110,-0.016,1.021,8.179,-14.465,13.855
-0.077,0.030,1.017,6.653,-13.916,13.672
-0.083,0.026,0.999,5.554,-14.343,15.686
-0.115,0.016,0.962,5.371,-15.198,18.799
-0.146,-0.017,0.942,7.690,-11.292,21.851
-0.176,-0.031,0.927,9.949,-3.235,24.170
-0.190,-0.019,0.940,10.681,3.723,25.574
-0.188,-0.056,0.996,7.996,8.057,24.902
-0.194,-0.026,0.985,3.540,3.113,23.315
-0.258,-0.081,1.031,4.333,-6.042,25.024
-0.315,-0.147,1.056,7.385,-15.869,26.001
-0.318,-0.168,1.020,8.606,-25.024,23.621
-0.336,-0.185,0.950,10.193,-32.654,20.569
-0.361,-0.144,0.908,8.972,-32.776,16.968
-0.353,-0.115,0.911,7.996,-21.667,14.648
-0.352,-0.110,0.937,8.240,-8.301,14.709
-0.358,-0.112,0.964,9.949,0.977,15.625
-0.375,-0.126,0.999,11.902,6.287,16.174
-0.473,-0.136,1.143,10.376,8.545,15.930
-0.220,-0.027,1.026,6.287,11.475,13.000
-0.211,-0.002,0.921,2.197,-1.892,12.329
-0.269,-0.141,0.805,2.808,-15.137,16.174
-0.361,-0.165,0.891,-3.052,-14.221,12.573
-0.310,-0.115,1.007,-5.371,-1.343,8.728
-0.245,-0.069,1.043,-6.531,2.686,6.348
-0.239,-0.118,1.013,-5.066,-1.221,7.446
-0.244,-0.143,0.996,-3.845,-3.418,7.507
-0.210,-0.115,0.992,-3.296,-3.479,5.249
